Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
"Navigating Extreme Rainfall: Adaptive Strategies for Flooding in Upper Bengawan Solo Sub-Watershed, Indonesia",Tika Morena Nuramini,2025.0,Frances Dunn,Jaap Nienhuis,"Fluvial flooding poses an increasing threat to downstream cities within the Upper Bengawan Solo Sub-watershed, particularly in Surakarta. This study investigates how extreme rainfall, land use change, and catchment characteristics contribute to tributary-driven flood events and proposes adaptive strategies to reduce risk at the catchment level. A mixed-methods approach was employed, combining HEC-HMS hydrological modeling with qualitative insights from expert interviews. The model simulated flood discharges for return periods, identifying key tributaries as dominant contributors. The research identifies promising adaptation strategies, though their implementation faces challenges. Effective flood risk reduction requires targeted action in high-risk tributaries, supported by institutional coordination.",How can adaptive strategies be developed to mitigate the impacts of extreme rainfall and flooding in the Upper Bengawan Solo Sub-watershed?,11 - Sustainable Cities and Communities,"This study addresses the increasing threat of flooding in urban areas, aiming to enhance resilience and sustainability in city planning and management.","Upper Bengawan Solo Sub-Watershed, Indonesia",Local,Urban & Regional Development,"flooding, adaptive strategies, extreme rainfall, hydrological modeling, land use change",Mixed Methods Research,"HEC-HMS hydrological modeling, Expert interviews, Random Forest analysis",,Bengawan Solo River Basin Organization,,Upper Bengawan Solo Sub-Watershed,,,Broad,,nuramini_2025.pdf,nuramini_2025.png,Matched (content),Indonesia,,
A study on the primary sources of natural arsenic pollution in the Ganges and Indian Brahmaputra River Basins,Marius Valk,,Jasper Griffioen,,"Arsenic is a toxic trace metal that poses serious health risks, particularly in the densely populated Ganges-Brahmaputra-Meghna delta. This study aims to identify the primary sources of arsenic pollution in the groundwater of the Ganges and Brahmaputra River Basins. A data mining exercise was conducted to gather literature on groundwater arsenic concentrations and heavy metals. The findings reveal that high arsenic concentrations are present in both river basins, with potential sources linked to geological formations in the Himalayas. The study concludes that while leucogranites may contribute to arsenic enrichment, other unknown sources also play a significant role.",What are the primary sources of arsenic pollution in the groundwater of the Ganges and Brahmaputra River Basins?,6 - Clean Water and Sanitation,"This SDG applies as the study addresses groundwater pollution, which directly impacts water quality and public health in the region.",Ganges and Brahmaputra River Basins,Regional,Ecology & Biodiversity,,Literature-Based Research,Data mining,,TNO,,,22.351115,78.667743,Broad,Abstract too short,valk_unknown.pdf,valk_unknown.png,Matched (content),India; Bangladesh,25.720225,84.105225
The impact of drought on water quality (nutrients) in agricultural ditches,Aditi Chitnis,,Junjie Wang,Jack Middelburg,"Surface waters in the Netherlands are being polluted by excess nitrate (NO3-) and ammonium (NH4+) compounds which mostly originate from farming. Droughts have shown to alter NO3- and NH4+ concentrations in surface water in previous studies and this could depend on the soil type. This thesis aimed to analyse the impact of droughts on NO3- and NH4+ concentrations in ditch water in the 11 Minerals Policy Monitoring Programme soil type districts. Statistical tests were performed, and a literature review was conducted. It was determined whether the water management strategy should be used in the future. The main findings reveal a significant increase in NO3- concentrations during the winter of 2019 compared to the long-term mean.",How do droughts impact NO3- and NH4+ concentrations in agricultural ditches in the 11 LMM soil type districts?,6 - Clean Water and Sanitation,"This SDG applies as the research focuses on water quality in agricultural ditches, which is directly related to clean water management.",Netherlands,National,Ecology & Biodiversity,,"Literature-Based Research, Quantitative Empirical Research","Statistical analysis, Spearman’s correlation test, Superposed Epoch Analysis, Literature review",,RIVM,,Netherlands,52.243498,5.634323,Country,,chitnis_unknown.pdf,chitnis_unknown.png,Matched (content),Netherlands,52.243498,5.634323
"Quantifying the effects of contour trenching: A field scale case study in Murcia, Spain",Bart Housmans,2020.0,Geert Sterk,,"This research aimed to quantify the effects of contour trenching in terms of soil moisture content and erosion rates on a hillslope scale in the region of Murcia, Spain. Fieldwork was executed to obtain the required data on local soil and infiltration characteristics that serves as input for the process of the contour trench design. Infiltration curves were constructed and statistically analysed as well as fitted to the Horton equation. The contour trench designs that best fitted local conditions were evaluated hydrologically in HYDRUS 2D. Significant increases in soil moisture content were found up to a lateral distance of 1.15 meter from the trenches. The earth mound proved to limit the lateral dispersion downslope of the trench through its capillary pull. Furthermore, the implementation of a contour trench system did not show to impact the cumulative root water uptake of an agricultural hillslope, where the loss of cultivatable surface that is the result of the implementation of the trenches is compensated by the increased soil moisture contents in the inter trench zone. Finally, a revised Morgan-Morgan Finney model was applied to evaluate the impact of contour trenches on annual erosion rates, which was shown to be reduced by 97% through the implementation of trenches.","What are the effects of contour trenches on soil moisture content and erosion rates on a hillslope scale in the region of Murcia, Spain?",15 - Life on Land,"This research addresses soil erosion and moisture retention, which are critical for maintaining healthy ecosystems and sustainable land management.","Murcia, Spain",Local,Ecology & Biodiversity,"Contour trenching, Rainwater harvesting, Erosion, HYDRUS, Murcia (Spain)","Qualitative Empirical Research, Quantitative Empirical Research","Field measurements, Statistical analysis, HYDRUS modelling",,,,Murcia,37.934752,-1.113103,Region,,housmans_2020.pdf,housmans_2020.png,Matched,Spain,37.934752,-1.113103
Managed River Realignment as a Nature Based Solution,Jim Lilly,,,,The Philippines is currently trying to implement viable flood control infrastructure projects to protect its citizens that reside in urbanized areas of estuaries. Recent directives from developmental agencies call for approaches to serve this function without compromising ecosystem services. This study explores the possible methods of managed river realignment as a Nature Based Solution to storm surge events and how this might perform in the face of climate change driven sea level rise. The data gathered for this study was obtained from multiple sources including remote sensing techniques for 5 separate rivers within the Philippines. Using a morphology estimator tool combined with a 1D-hydrodynamic model it was found that widening the mouth of an estuary has the capabilities of effectively dampening inland tidal amplitude associated with storm surge disturbance events. From the analysis of the results it shows a promising river management solution to flood mitigation associated with storm surge events for urbanized areas residing within estuaries.,"What is the impact of widening the floodplains of 6 river basins in the Philippines, (i.e the Buayan-Malungon, Jalaur, Apayo-Abulug, Abra, Ranao, and Tagum-Libuganon river basins) regarding mitigating flood risk?",,,Philippines,Local,Energy & Climate,,"Literature-Based Research, Qualitative Empirical Research","Field Observations, Literature review, Identification of Rivers Estuary Inhabitation “Hotspots”, Identification of Relevant NBS, Widening the Mouth of the River Basin, Initial Morphology Tool Data Input Acquisition, Validation of Morphology Tool, Initial 1D-hydrodynamic Model Input","Nature-Based Solutions, Integrated Water Resources Management, Flood Risk Management",,,Philippines,12.750349,122.73121,Country,"Missing Research Question, Missing SDG, Missing Supervisor",lilly_unknown.pdf,lilly_unknown.png,Matched,Philippines,12.750349,122.73121
Biodegradable Groundwater Monitoring Wells: Investigating the Fate of Biowell,Shiyue Yang,2021.0,Stefan Dekker,Klaas Nierop,"This thesis investigates the biodegradation performance of biodegradable groundwater monitoring wells, known as 'Biowell', in soil environments. The aim is to understand the fate of Biowell and its potential as a sustainable alternative to conventional plastic wells. The research employs external interviews and internal surveys to gather insights on optimal conditions for Biowell usage. Findings indicate that Biowell is suitable for short-term monitoring projects, but legislative barriers hinder its large-scale adoption. The study also reveals that Biowell experiences slow biodegradation in natural conditions, with laboratory tests suggesting a degradation time of approximately 3000 to 3500 days under varying temperatures.",What is the fate of the biodegradable monitoring well?,12 - Responsible Consumption and Production,"The research addresses plastic pollution and explores sustainable alternatives, aligning with the goal of responsible consumption and production.","Utrecht, Netherlands",Local,Circular Economy & Production,"Biodegradable, groundwater monitoring, Biowell, biodegradation, Sustainability","Qualitative Empirical Research, Quantitative Empirical Research","External interviews, Survey, chemical analysis, Py GC-MS test, soil burial tests",,Tauw,,Utrecht,52.090701,5.121563,City,Abstract too short,yang_2021.pdf,yang_2021.png,Matched,Netherlands,52.090701,5.121563
Detecting unwanted consequences of a decreased maintenance condition in the main waterways of drainage areas using predictive machine learning techniques,Thijs Roos BSc,2020.0,"Niko Wanders, M.T.H. van Vliet",T. De Lange,"Maintaining the condition of the drainage areas is an important task of the regional water authority 'Hoogheemraadschap De Stichtse Rijnlanden', abbreviated by HDSR. HDSR prefers to monitor the maintenance condition of the drainage areas continuously in order to keep the condition at an acceptable level. However, observing this condition continuously for each drainage area is financially unfeasible. The aim of the study is to develop an approach to measure the maintenance condition of the main waterways of the drainage areas of HDSR in real time. This approach requires the water level difference in the waterways, Δh, as a parameter of the maintenance condition, since Δh is linked to flow resistance. In order to develop the approach, two case studies were performed: one in the Amerongerwetering drainage area and one in the Lange Weide drainage area. During the study, machine learning techniques, such as a linear regression model, a random forest model and a gradient boosting model, were applied. The models required a large input dataset to predict the Δh values. These value were compared to the observed values of Δh. When observing a significant difference between the predicted and the observed values, the date was classified as an anomaly. The data included in the study were provided by HDSR and KNMI. The linear regression model was not suitable for the study, because of insufficient prediction quality. Both the results of the random forest and gradient boosting model showed that most of the anomalies were detected. The anomalies were analysed and were linked to possible explanations. This analysis explained that excessive vegetation has large influence on Δh. The approach proved more promising for the (simpler) Amerongerwetering drainage area, compared to the Lange Weide drainage area. The random forest model proved to be a better performing model, both statistically and visually. The study concludes that machine learning provides opportunities for the water management in the drainage areas of HDSR. However, it is recommended that these opportunities are further examined in future studies.",How can predictive machine learning techniques be used to measure the maintenance condition of the main waterways in the drainage areas of Hoogheemraadschap De Stichtse Rijnlanden?,6 - Clean Water and Sanitation,"This study focuses on improving water management and maintenance of drainage areas, which directly relates to ensuring availability and sustainable management of water and sanitation for all.",Netherlands,Regional,Energy & Climate,"machine learning, maintenance condition, drainage areas, predictive techniques, anomaly detection",Mixed Methods Research,"Case study, Linear regression model, Random forest model, Gradient boosting model",,Hoogheemraadschap De Stichtse Rijnlanden,,,52.243498,5.634323,Broad,,roos_2020.pdf,roos_2020.png,Matched,Netherlands,52.243498,5.634323
Silicate gels in civil engineering: The effect of organic matter content of soils on the hydraulic conductivity and strength of silicate gels,Frank de Kievit,,Alraune Zech,,"This thesis investigates the impact of organic matter on silicate grouting, which is increasingly used in urban underground construction. The objective is to understand how varying organic mass fractions affect the syneresis, permeability, and uniaxial compressive strength of silicate gels. Through exploratory experiments, it was found that higher organic content reduces gel shrinkage and that permeability is influenced more by grouting procedures than by the grout itself. Additionally, an organic mass fraction of 8% can significantly decrease the strength of grouted soil samples.",How does the organic matter content of soils affect the hydraulic conductivity and strength of silicate gels?,11 - Sustainable Cities and Communities,"The research addresses urban underground construction challenges, contributing to sustainable urban development by improving grouting techniques.",,Local,Urban & Regional Development,,Qualitative Empirical Research,"Syneresis experiments, Permeability experiment, UCS experiments",,CRUX Engineering BV; B&P Bodeminjectie,,,,,Broad,Abstract too short,kievit_unknown.pdf,kievit_unknown.png,Matched,,,
The importance and vulnerability of the Indus regional Water Towers - Applying the global Water Tower Index at subbasin scale,Esmée Mikayla Mes,2021.0,"Walter Immerzeel, Arthur Lutz",,"Mountains occupy a critical role in the storage and supply of sufficient freshwater to livelihoods and ecosystems in lowland areas, termed ‘water towers’. This study applies the global Water Tower Index (WTI) and Vulnerability Index (VI) at subbasin scale for the Indus Basin to determine their applicability. The research aims to identify important and vulnerable regions within the Indus Basin using regional data. Findings indicate that the global WTI and VI are applicable at subbasin scale, revealing significant variability in outcomes and improving representation of spatial variability. The regional Water Tower Index (rWTI) could serve as a preliminary tool for complex hydrological studies.",Is the global Water Tower Index and Vulnerability Index applicable at subbasin scale for the Indus Basin?,6 - Clean Water and Sanitation,"This study addresses the critical role of water towers in freshwater supply and their vulnerability, directly relating to the sustainable management of water resources.",Indus Basin,Regional,Water Management,"Water Towers, Indus Basin, Water Tower Index, Vulnerability Index, Subbasin Scale",Mixed Methods Research,"Calculation of the Supply Index, Calculation of the Demand Index, Calculation of the regional Water Tower Index, Calculation of the Vulnerability Index, Sensitivity analysis of weights",,,,,30.33084,71.247499,Broad,,mes_2021.pdf,mes_2021.png,Matched,Pakistan; India,24.867284,67.082106
Community-Based Water Management in the Moroccan High Atlas Mountains Analysing operational and strategic barriers: A case study in the Ounila Catchment,Christian Javier Larrea,2021.0,Ángeles García Mayor,Paul Schot,"This thesis analyses the formal and informal barriers faced by the Community-based Adaptation (CBA) programme implemented by the NGO PermaAtlas in the Ounila catchment, located on the Moroccan High Atlas Mountains. The aim is to assess the barriers to the programme implementation through multi-criteria analysis using the Adaptative Capacity Framework. The findings indicate that while cultural and community barriers have been partially overcome, financial barriers remain a significant challenge. Recommendations are provided to facilitate dialogue among communities and to implement a reliable monitoring programme.",What are the operational and strategic barriers faced by the Community-based Adaptation programme in the Ounila catchment?,6 - Clean Water and Sanitation,"This SDG applies as the thesis focuses on water management issues in a water-stressed region, aiming to improve community-based water management practices.","Ounila Catchment, Morocco",Local,Governance & Policy,"Community-Based Water Management, Community-Based Adaptation, Barriers to adaptation, Morocco, High Atlas Mountains, Ounila Catchment, Anguelz",Qualitative Empirical Research,"Multi-criteria analysis, Semi-structured interviews",Adaptive Capacity Framework,PermaAtlas,,Ounila Catchment,,,Broad,Abstract too short,larrea_2021.pdf,larrea_2021.png,Matched,Morocco,,
Assessing Water Through Its Life: Bioassays as Indicators of Water Quality in Sewer Overflows,Angus Jansen,2024.0,Rens van Beek,Martijn Kuller,"The ecological status of surface water quality in the Netherlands continues to fall short of the targets set by the Water Framework Directive (WFD). Monitoring coverage, both in terms of geographic scope and the variety of pollutants, remains a major challenge, especially in urban waters affected by diverse pollution sources. This study evaluated bioassays using the microgreen algae, Chlamydomonas reinhardtii and the freshwater zooplankton, Daphnia pulex, as practical and sensitive indicators of urban water quality. Bioassay trials assessed growth and behavioral endpoints across paired sewer overflow and reference sites. While no significant differences were detected between sites, both bioassays detected measurable impacts when compared to laboratory controls. This study highlights critical trade-offs between ecological sensitivity and practical scalability.","How can bioassay methodologies be developed to assess the ecological impacts of sewer overflows in urban waterways, considering both ecological sensitivity and practical scalability for widespread monitoring, including citizen science applications?",6 - Clean Water and Sanitation,"This study addresses the ecological impacts of sewer overflows on urban water quality, which is directly related to the goal of ensuring availability and sustainable management of water and sanitation for all.",Netherlands,National,Ecology & Biodiversity,"bioassays, water quality, sewer overflows, Chlamydomonas reinhardtii, Daphnia pulex, citizen science",Qualitative Empirical Research,"Bioassays, Growth inhibition test, Behavioral locomotion assay",,Netherlands Institute of Ecology (NIOO-KNAW),,Netherlands,52.243498,5.634323,Country,,jansen_2024.pdf,jansen_2024.png,Matched,Netherlands,52.243498,5.634323
"The background contribution of exfiltrating, ammonium-rich groundwater to the exceedance of the national ammonium standard for surface water bodies in Flevoland Polder (the Netherlands)",Haichen Zhang,2024.0,Jasper Griffioen,Martijn Kuller,"This thesis investigates the contribution of ammonium-rich groundwater to the exceedance of the national ammonium standard in surface water bodies within the Flevoland Polder, Netherlands. The aim is to understand the extent to which naturally occurring ammonium influences surface water quality. A mixed methods approach is employed, utilizing data collection and analysis of ammonium concentrations in both groundwater and surface water across different seasons and years. The findings reveal significant seasonal and interannual variations in ammonium levels, highlighting the role of groundwater exfiltration as a key contributor to surface water pollution, alongside anthropogenic sources.",To what extent can the exceedance of the Dutch ammonium standard for surface water bodies be explained by the exfiltration of groundwater that is naturally polluted with ammonium in a polder?,6 - Clean Water and Sanitation,"This study addresses the quality of surface water, which is crucial for ecosystem health and human utilization, aligning with the goal of ensuring availability and sustainable management of water and sanitation for all.","Flevoland, Netherlands",Local,Ecology & Biodiversity,"ammonium, groundwater, surface water, eutrophication, Flevoland",Mixed Methods Research,"Data analysis, interpolation maps, Statistical analysis, mass balance calculations",,TNO Geological Survey of the Netherlands,,Flevoland,52.448437,5.42354,Region,Abstract too short,zhang_2024.pdf,zhang_2024.png,Matched,Netherlands,52.448437,5.42354
"AN EXPERIMENT ON THE EFFECT OF DIFFERENT SLOPES AND INFLOWS ON MANNING ROUGHNESS PARAMETER AT EINIGHAUSEN, SOUTHERN LIMBURG",Osama Alyamoor,2023.0,Martin Wassen,,"This research investigates the impact of different slopes and inflows on the Manning roughness parameter in Einighausen, Southern Limburg, an area prone to flooding. The study aims to obtain a more accurate Manning's roughness coefficient (n) by conducting experiments with varying slopes and inflow rates. A hydraulic model was used, and the experiment involved measuring water velocity using a dye tracer and calculating the Manning roughness coefficients through regression analysis. Results indicated that an inflow rate of 3.5 l/min increased the Manning roughness coefficient, while higher inflows led to a decrease. The findings suggest that a correction factor of 0.6 should be applied for accurate measurements.","How can different slopes and different inflows be incorporated in an experiment to obtain a more accurate Manning’s roughness n for the village of Einighausen, Southern Limburg?",11 - Sustainable Cities and Communities,"The study addresses flooding issues in Einighausen, contributing to the development of sustainable urban water management practices.","Einighausen, Netherlands",Local,Urban & Regional Development,"Manning roughness, flooding, hydraulic model, Einighausen, Southern Limburg",Mixed Methods Research,"Dye tracer test, Linear regression analysis, QGIS analysis",Manning’s equation,Sweco,"Waterschap Limburg, Municipality of Sittard-Geleen",Einighausen,51.002645,5.826427,City,,alyamoor_2023.pdf,alyamoor_2023.png,Matched,Netherlands,51.002645,5.826427
"Modelling the effects of the Maaswerken on the drinking water production near Roosteren, The Netherlands",Joey C. D. Ewals,2020.0,Jaivime Evaristo,Paul Schot,"The provision of safe drinking water is of significant importance for a countries social and economic development. This study presents the effects of lowering the riverbank of an inside bend of the Meuse river at the Roosteren drinking water production site of drinking water company WML. The study uses the regional groundwater model IBRAHYM to execute the initial model and three modelling scenarios. The results show that during a median discharge minimal changes in travel time occur, while the high discharge scenario contains Meuse water with a travel time of <60 days for all Meuse wells, implying microbiological risks are at hand. It is advised to replace the Meuse wells further away from the Meuse to preserve water quality.",What are the effects of the Maaswerken project on the drinking water production at the Roosteren site?,6 - Clean Water and Sanitation,This SDG applies as the study focuses on the effects of riverbank modifications on drinking water production and quality.,"Roosteren, Netherlands",Local,Water Management,"drinking water, Maaswerken, modelling, Meuse river, groundwater",Modelling & Systems Approaches,"IBRAHYM model, iMODFLOW",,Waterleiding Maatschappij Limburg,,Roosteren,51.082724,5.816645,City,,ewals_2020.pdf,ewals_2020.png,Matched,Netherlands,51.082724,5.816645
Identifying opportunities for active dynamic foredune management under future developments along the Dutch coast a case study of a future weak link of the Holland coast near Zandvoort,Sanne Wesseling,,Gerben Ruessink,,"Coastal protection in the Netherlands is essential. This study aims to assess the effect of active dynamic foredune management on safety and ecological interests along the Holland coast. A literature survey and three interviews were conducted to explore measures, influencing factors, and uncertainties. Eight scenarios were formed to mimic beach-dune development until 2093, which were assessed using MorphAn. Results indicate that safety is ensured in all scenarios, with large-scale dynamics reducing erosion volume during storms but potentially converting habitats and affecting infrastructure. The findings depend on assumptions regarding notch development and nourishment.",How does active dynamic foredune management affect safety and ecological interests along the Holland coast under future uncertainties?,13 - Climate Action,"The study addresses coastal management in the context of climate change and its impact on safety and ecology, aligning with the goals of climate action.","Holland coast, Netherlands",Local,Energy & Climate,,Qualitative Empirical Research,"Literature survey, Interviews, Scenario analysis",,Hoogheemraadschap van Rijnland,,Zandvoort,52.3719838,4.5302209,City,Abstract too short,wesseling_unknown.pdf,wesseling_unknown.png,Matched,Netherlands,52.3719838,4.5302209
"Investigating Water Quality and Ecological Health within Kempen-Broek, Natuurmonumenten",Lee Johnstone,,Martin Wassen,,"Kempen-Broek is a cross-border wetland with significant economic and ecological value. This study aims to assess the surface water quality and its relationship to ecological health in the Kempen-Broek nature reserve. Through the collection and analysis of surface water samples for various nutrients, major ions, and heavy metals, the research identifies potential sources of pollution and their impact on ecosystem health. The findings indicate generally good ecological health, although some sites show elevated concentrations of certain contaminants. Recommendations for ongoing monitoring and further studies are provided to ensure the long-term health of the wetland.",What is the current surface water quality in the Kempen-Broek area and how does it relate to ecological health?,6 - Clean Water and Sanitation,"This study addresses the quality of surface waters, which is essential for maintaining ecological health and ensuring sustainable water management.","Kempen-Broek, Netherlands",Local,Ecology & Biodiversity,"Water Quality, Ecological Health, Wetland, Kempen-Broek",Qualitative Empirical Research,"Fieldwork, Data analysis",,,,Kempen-Broek,51.22461,5.60747,Broad,Abstract too short,johnstone_unknown.pdf,johnstone_unknown.png,Matched (content),Netherlands,51.22461,5.60747
Urban drought hazard assessment using global open data and water balance model,Edgar Daniel Peregrina González,2022.0,Jaivime Evaristo,,"This thesis investigates the spatial and temporal variability of urban droughts globally to enhance water resource management. The objective is to develop an automated approach for drought hazard assessment using globally available open data and a hydrological model. The methodology involves applying this approach to four cities and comparing the results with existing literature and a climate incident database. Findings indicate that the proposed method can replicate most reported urban droughts, although some discrepancies exist with global database records. This research contributes to the field by providing a fully automated method for assessing drought severity, frequency, and persistence, while also highlighting challenges in defining drought thresholds in urban contexts.",How can an automated approach using global open data and hydrological models be developed to assess urban drought hazards?,6 - Clean Water and Sanitation,"The research addresses urban drought management, which is crucial for ensuring sustainable water availability and quality in cities.",Global,Global/International,Water Management,"Urban drought, climate hazard assessment, open data, hydrological models",Mixed Methods Research,Case study,,Deltares,,,,,Broad,,,,Not found,Global,,
MICROCLIMATE MANAGEMENT AS AN OPTION FOR DEALING WITH CLIMATE CHANGE IN ZAMBIA - An analysis of the governance in rural areas and farmers’ choices -,Elisabetta Dematteis,2022.0,Carel Dieperink,,"Microclimate management (MCM) is a group of interventions aimed at smoothing local climate variability, crucial for agricultural resilience in Zambia. This thesis analyzes the governance of MCM and farmers' willingness to adopt it in response to climate change. Using the 10 building blocks approach and 52 farmer questionnaires, the study assesses governance status and identifies factors influencing adoption. Findings indicate that improving MCM is feasible and provide recommendations for Zambian institutions to enhance sustainable practices. The research contributes to understanding MCM governance and farmers' responses to climate interventions.",Is improving microclimate management a feasible option for dealing with climate change in rural areas in Zambia?,13 - Climate Action,This SDG applies as the thesis focuses on addressing climate change impacts through microclimate management strategies in Zambia.,Zambia,Local,Agriculture,"Microclimate management, sustainable strategy, Governance, farmers’ willingness, Zambia",Qualitative Empirical Research,Questionnaires,,,,Zambia,-14.518912,27.558988,Country,Abstract too short,dematteis_2022.pdf,dematteis_2022.png,Matched,Zambia,-14.518912,27.558988
"Exploration of the Effects of Aquifer Storage and Recovery Solutions on the Water Quality and Quantity in a sandy ridge system in Ben Tre, Vietnamese Mekong Delta",Hanna Verduijn,2020.0,"Gualbert Oude Essink, Niko Wanders",,"In the Vietnamese Mekong Delta, climate change, social economic development and a high population density come together and put severe pressure on the delta’s available natural resources and its freshwater availability in particular. This study assesses the feasibility of an aquifer storage and recovery (ASR) solution on a shallow phreatic sandy ridge aquifer in Ben Tre. The objective was to quantify the impacts of an ASR solution on freshwater availability and quality. A 3D-variable-density groundwater model was created, evaluating various ASR designs. The study found that multiple ASR designs can effectively create a water buffer in dry periods and prevent extreme chloride concentrations during saltwater intrusion.","How can aquifer storage and recovery solutions improve freshwater availability and quality in the sandy ridge system of Ben Tre, Vietnamese Mekong Delta?",6 - Clean Water and Sanitation,"The study addresses freshwater availability and quality issues in the Mekong Delta, which are critical for sustainable water management and agricultural productivity.","Ben Tre, Vietnam",Local,Water Management,"Aquifer Storage and Recovery, Water Quality, Water Quantity, Mekong Delta, Freshwater Security",Quantitative Empirical Research,"3D-variable-density groundwater modeling, solute transport modeling",,Deltares,,Ben Tre,9.883743,106.734015,City,,verduijn_2020.pdf,verduijn_2020.png,Matched,Vietnam,9.883743,106.734015
Reimagining Dam Operations: An Assessment of Floating PV’s Impact on Water Management in Indonesian Multipurpose Dam,Lulu N. Saepudin,2025.0,Stefan Dekker,Hugo de Boer,"Floating photovoltaic (FPV) systems offer a dual advantage for water infrastructure by providing clean energy while reducing water loss through evaporation. This study uses the Karian Dam in Banten Province as a case study to evaluate the impact of FPV at varying coverage levels. It examines how FPV affects evaporation reduction, reservoir storage performance, and water supply outcomes through biweekly simulations under different hydrological conditions. Findings indicate that FPV systems can significantly reduce evaporation and enhance reservoir storage, but also pose risks of High Water Level exceedance, necessitating adaptive management strategies.",How does the integration of floating photovoltaic systems impact water management in Indonesian multipurpose dams?,7 - Affordable and Clean Energy,"The study focuses on the deployment of floating photovoltaic systems to support Indonesia's renewable energy targets, thereby contributing to affordable and clean energy solutions.",Indonesia,National,Energy & Climate,"Floating photovoltaic, Water management, evaporation reduction, Renewable Energy, multipurpose dam",Mixed Methods Research,"Biweekly simulations, uncertainty analysis",,MPW Indonesia,PLN Nusantara Power,Karian Multipurpose Dam,-2.483383,117.890285,City,Abstract too short,saepudin_2025.pdf,saepudin_2025.png,Matched,Indonesia,-2.483383,117.890285
Assessing the usefulness of the ecohydrological model Waterwijzer Natuur 3.0 in developing an ambition map within the Province of Overijssel,Jannes van Weele,2022.0,Martin Wassen,,"The Province of Overijssel has to comply with goals set in the national Natuurnetwerk Nederland project. In order to do so, the province needs a map (ambition map) which indicates how nature can be restored and further developed. A consortium was engaged to develop this ambition for which they decided to use the new ecohydrological model Waterwijzer Natuur 3.0. However, no documentation on the reliability of this model had been released yet and the project provided little time for the project team to assess the usefulness of the Waterwijzer Natuur 3.0. This thesis aims to fill this gap by answering the question how the Waterwijzer Natuur 3.0 can be useful in developing the ambition map. Results showed that the input data for Waterwijzer Natuur 3.0 was regularly incorrect, often caused by the supply of outdated data. Therefore has been concluded that results from WWN 3.0 can be used to support the formulation of ambitions for the ambition map, but only when an expert is assessing these results before formulating the ambitions.",How can the Waterwijzer Natuur 3.0 be useful in developing the ambition map?,15 - Life on Land,This SDG applies as the research focuses on restoring and developing nature within the Province of Overijssel.,Province of Overijssel,Local,Ecology & Biodiversity,"Waterwijzer Natuur 3.0, ambition map, ecohydrology, Landscape Ecological System Analysis",Qualitative Empirical Research,Landscape Ecological System Analyses,,Witteveen+Bos; Provincie Overijssel,,Overijssel,52.4254143,6.4610611,Region,,weele_2022.pdf,weele_2022.png,Matched,Netherlands,52.4254143,6.4610611
Improving knowledge and decision-making on implementing infiltration systems,Jaron Borgmeier,2024.0,Stefan Dekker,Martijn Kuller,"The groundwater system in the Netherlands faces pressures from climate change, pollution, and subsurface use, affecting groundwater recharge and levels. This research aims to develop an assessment framework for infiltration systems, focusing on the Hollandsche IJsseldijk project. The methodology includes literature research, expert interviews, decision-trees, and Multi-Criteria Analysis (MCA). Key findings indicate that clogging risks are influenced by water quality and maintenance needs are site-specific. The framework identified a horizontal infiltration system as the most suitable option, though challenges such as clogging and regulatory ambiguities remain. The framework's reliability suggests it can aid decision-makers in similar projects.",How can an assessment framework for infiltration systems be developed to improve decision-making in the context of the Hollandsche IJsseldijk project?,6 - Clean Water and Sanitation,"This research addresses groundwater management and the implementation of infiltration systems, which are crucial for maintaining clean water resources in the face of climate change and urbanization.",Netherlands,Local,Water Management,"Infiltration systems, KIJK-dike, Groundwater management, Flood defence reinforcement, Clogging risks, Maintenance requirements, Long-term sustainability prospects, Laws and regulations, Literature research, Expert interviews, Assessment Framework, Decision-trees, Multi-Criteria Analysis, Case study, Decision-making","Literature-Based Research, Qualitative Empirical Research","Literature review, Expert interviews, Decision-trees, Multi-Criteria Analysis",,Witteveen+Bos,,,52.243498,5.634323,Broad,Abstract too short,borgmeier_2024.pdf,borgmeier_2024.png,Matched,Netherlands,52.243498,5.634323
